CountryID,Countries or areas,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019
320,Guatemala,3,3,3,0,41,0,73000,2613596,3066485
324,Guinea,2,1,1,12,0,0,0,777,0
624,Guinea-Bissau,5,2,1,3,0,0,1500,132000,0
328,Guyana,2,1,1,0,0,0,607200,0,0
332,Haiti,6,1,2,0,0,0,2270217,35000,4600000
340,Honduras,4,6,3,0,0,0,400000,460625,1056710
348,Hungary,2,1,1,0,0,0,0,0,0
356,India,13,3,4,4250306,20,24,711841000,350000000,338200000
360,Indonesia,13,5,2,9629,0,30,7823298,15400,409664
364,Iran (Islamic Republic of),2,1,1,0,0,0,37625000,0,0
368,Iraq,2,1,1,0,0,0,500000,0,0
376,Israel,3,1,2,0,0,44,240,0,80159
380,Italy,6,3,2,8,13,0,320,0,0
388,Jamaica,2,1,1,0,0,0,100000,0,91545
392,Japan,1,1,1,0,0,0,0,222,0
400,Jordan,1,1,1,0,0,0,180000,150000,0
398,Kazakhstan,1,1,1,0,0,0,8000,0,0
404,Kenya,8,3,5,85,111,0,29550000,9600000,15250000
296,Kiribati,1,1,1,0,0,0,84000,0,0
417,Kyrgyzstan,1,1,1,0,0,0,0,2000000,0
418,Lao People's Democratic Republic,5,1,1,0,0,0,4250000,0,0
428,Latvia,1,1,1,0,0,0,0,0,0
422,Lebanon,1,1,1,0,1,0,0,15,0
426,Lesotho,3,2,3,0,0,0,1035500,975000,2137515
430,Liberia,1,1,1,0,0,0,0,0,0
440,Lithuania,1,1,1,0,0,0,0,0,0
450,Madagascar,2,4,3,200,0,0,1950000,1565290,2420000
454,Malawi,3,3,2,0,500,0,11229267,8449435,8600000
458,Malaysia,4,1,1,0,0,0,8000,0,2200000
466,Mali,6,3,2,0,0,0,1802000,1025000,4100000
584,Marshall Islands,1,1,2,0,0,0,0,0,27384
