Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Latest Year,"CO2 emissions, latest year
1000 t",% change since 1990
68,Bolivia (Plurinational State of),5386.19,5386.19,5386.19,5386.19,8146.25,8146.25,8146.25,8146.25,8930.9,8930.9,7782.84,7782.84,9073.28,9073.28,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,9786.04,2004,9786.04,81.69
70,Bosnia and Herzegovina,26461.07,23850.3,5933.32,2208.48,2426.14,2140.56,4429.62,7022.49,10776.92,10968,11633.23,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,12239.58,19418,21712,21712,21712,21712,21712,21712,2014,21712,-17.95
72,Botswana,3014.5,3014.5,3014.5,3014.5,3014.5,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,3979,7435.22,7435.22,7435.22,7435.22,7435.22,2015,7435.22,146.65
76,Brazil,213555,224675,226821,235656,245012,263283,282440,299443,310259,320522,331466,338212,337959,333001,349853,356897,361457,380822,402090,381380,429844,450956,482697,511858,532094,504747,504747,504747,504747,504747,2015,504747,136.35
96,Brunei Darussalam,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,5882.59,2010,5882.59,0
100,Bulgaria,76698.98,61232.6,57010.43,57675.64,56083.53,57716.37,58108.02,55861.27,53275.22,46369.98,45305.03,49014.14,46258.57,50509.67,49570.73,50656.43,51895.22,55740.84,54079.56,45773.77,47862.93,53178.04,48349.01,42649.51,45169.33,48194.28,45353.72,47505.16,43551.6,43551.6,2018,43551.6,-43.22
854,Burkina Faso,902,902,902,902,902,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,1604.34,2007,1604.34,77.86
108,Burundi,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,143.18,140.69,140.69,140.69,140.69,140.69,172.97,172.97,172.97,172.97,172.97,158.62,158.62,158.62,158.62,158.62,2015,158.62,10.78
132,Cabo Verde,217.73,217.73,217.73,217.73,217.73,217.73,217.73,217.73,217.73,217.73,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,284.95,2000,284.95,30.87
116,Cambodia,1321.93,1321.93,1321.93,1321.93,1321.93,1321.93,1321.93,1321.93,1321.93,1321.93,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2052.58,2000,2052.58,55.27
120,Cameroon,2769.52,2769.52,2769.52,2769.52,2769.52,2769.52,2769.52,2769.52,2769.52,2769.52,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2991,2000,2991,8
