CountryID,Countries or areas,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019
316,Guam,1,1,1,0,0,0,71,0,0
320,Guatemala,6,4,8,39,42,510,30513,3980,3147312
332,Haiti,1,1,2,0,0,222587,0,0,3739336
340,Honduras,1,2,1,0,7,0,0,52019,0
348,Hungary,1,1,1,0,0,0,0,0,1800
352,Iceland,1,2,1,0,0,0,0,199,0
356,India,5,4,7,11391,37705,237,719302,7133146,645928
360,Indonesia,30,49,34,3454,174923,6530,579442,7892106,1839040
364,Iran (Islamic Republic of),20,24,22,42875,27757,827,999174,755084,346248
368,Iraq,1,1,1,20,0,10,500,0,5969
380,Italy,5,6,8,35,327,352,48721,65774,58554
392,Japan,10,17,11,5589,81,20018,617831,204238,824396
398,Kazakhstan,1,1,1,0,3,0,0,36626,0
404,Kenya,1,1,1,0,1,0,0,0,0
417,Kyrgyzstan,3,3,3,58,74,0,138036,16247,21780
454,Malawi,1,2,1,0,4,0,0,20736,0
458,Malaysia,1,1,1,72,80,24,0,5063,10
462,Maldives,1,1,1,0,102,0,0,27214,0
474,Martinique,1,1,1,0,1,0,0,100,0
484,Mexico,14,4,8,131,29,476,299158,219904,1561030
500,Montserrat,3,1,1,32,0,0,13000,200,0
504,Morocco,1,1,1,0,628,0,0,13465,0
508,Mozambique,1,1,1,0,4,0,0,1476,0
104,Myanmar,2,1,4,0,71,133,160,15700,23915
524,Nepal,1,1,3,0,0,8976,285,0,5810099
528,Netherlands,1,1,1,0,0,0,20,0,0
554,New Zealand,1,1,6,0,0,205,70,0,615760
558,Nicaragua,7,1,1,180,7,2,324187,7477,12281
807,North Macedonia,1,1,1,0,0,0,0,0,100
580,Northern Mariana Islands,1,1,1,0,0,0,0,0,0
586,Pakistan,8,7,9,413,73579,806,217901,6286916,749986
591,Panama,2,2,1,30,2,0,20096,1415,0
598,Papua New Guinea,7,11,7,2244,18,181,183898,51770,562867
604,Peru,9,7,10,292,749,18,237082,1017934,70874
608,Philippines,13,9,21,3223,26,447,3114298,330512,4255413
410,Republic of Korea,1,1,2,0,0,0,0,0,34889
642,Romania,3,1,1,9,0,0,6550,0,0
643,Russian Federation,4,6,1,2001,18,0,14352,45838,0
646,Rwanda,1,2,1,0,81,0,0,2286,0
662,Saint Lucia,1,1,1,0,0,0,0,0,0
882,Samoa,1,1,1,0,148,0,0,5584,0
688,Serbia,1,1,1,0,0,2,0,0,27030
690,Seychelles,1,1,1,0,3,0,0,4830,0
705,Slovenia,1,1,1,0,1,0,700,605,0
90,Solomon Islands,1,1,3,0,52,10,0,2384,14225
706,Somalia,1,1,1,0,298,0,0,105083,0
710,South Africa,2,1,1,25,2,1,52,58,2002
724,Spain,1,1,1,0,0,10,20,0,15300
144,Sri Lanka,1,1,1,0,35399,0,0,1019306,0
729,Sudan,2,1,1,3,0,0,8015,0,0
756,Switzerland,1,1,1,0,0,8,0,0,200
762,Tajikistan,1,6,5,12,17,4,0,30160,18502
764,Thailand,1,1,2,0,8345,2,0,67007,17539
626,Timor-Leste,1,1,1,0,0,0,0,0,2003
776,Tonga,1,1,1,0,9,0,0,507,0
780,Trinidad and Tobago,2,1,1,0,0,0,217,0,0
792,Turkey,13,15,7,19137,252,699,3712263,607910,48901
795,Turkmenistan,1,1,1,0,11,0,0,0,0
800,Uganda,3,1,1,7,0,4,50000,0,590
826,United Kingdom of Great Britain and Northern Ireland,1,1,1,0,0,0,0,4501,0
834,United Republic of Tanzania,1,5,1,0,15,17,0,8491,139601
840,United States of America,9,5,5,65,3,1,30901,31366,6650
860,Uzbekistan,2,1,1,10,0,13,50400,0,0
548,Vanuatu,6,7,2,112,0,0,14102,19903,18286
862,Venezuela (Bolivarian Republic of),1,1,1,80,0,0,4183,0,0
876,Wallis and Futuna Islands,1,1,1,5,0,0,20,0,0
887,Yemen,1,1,1,10,6,0,40039,15,0
